route_id,service_id,trip_id,trip_headsign
2021,土日祝,土日祝_11時35分_系統2021,ネオ東６（中 ・下市 経由）
1112,土日祝,土日祝_11時40分_系統1112,表町BC経由岡山駅（清水 経由）
1632,土日祝,土日祝_11時43分_系統1632,岡山駅前経由表町BC（下市・西 経由）
8001,土日祝,土日祝_11時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1111,土日祝,土日祝_11時45分_系統1111,四御神（県庁前 経由）
5142,土日祝,土日祝_11時50分_系統5142,表町BC（高島団地・岡山駅前 経由）
3107,土日祝,土日祝_11時50分_系統3107,長岡・駅前
1621,土日祝,土日祝_11時55分_系統1621,ネオ西９（中 ・下市 経由）
3102,土日祝,土日祝_12時00分_系統3102,表町ＢＣ経由岡山駅
1112,土日祝,土日祝_12時00分_系統1112,表町BC経由岡山駅（清水 経由）
5141,土日祝,土日祝_12時05分_系統5141,東岡山（岡山駅 経由）
1282,土日祝,土日祝_12時09分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1371,土日祝,土日祝_12時10分_系統1371,山陽団地（西→中 経由）
1111,土日祝,土日祝_12時10分_系統1111,四御神（県庁前 経由）
8001,土日祝,土日祝_12時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1112,土日祝,土日祝_12時20分_系統1112,表町BC経由岡山駅（清水 経由）
1072,土日祝,土日祝_12時22分_系統1072,瀬戸駅（岡山駅 経由）
5142,土日祝,土日祝_12時25分_系統5142,表町BC（高島団地・岡山駅前 経由）
2021,土日祝,土日祝_12時25分_系統2021,ネオ東６（中 ・下市 経由）
5141,土日祝,土日祝_12時35分_系統5141,東岡山（岡山駅 経由）
3108,土日祝,土日祝_12時37分_系統3108,表町ＢＣ経由岡山駅
1111,土日祝,土日祝_12時40分_系統1111,四御神（県庁前 経由）
1062,土日祝,土日祝_12時40分_系統1062,表町ＢＣ経由岡山駅
8001,土日祝,土日祝_12時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
3101,土日祝,土日祝_12時45分_系統3101,片上
1112,土日祝,土日祝_12時50分_系統1112,表町BC経由岡山駅（清水 経由）
1371,土日祝,土日祝_12時50分_系統1371,山陽団地（西→中 経由）
1612,土日祝,土日祝_12時52分_系統1612,岡山駅前経由表町BC（新道河本 経由）
5142,土日祝,土日祝_13時00分_系統5142,表町BC（高島団地・岡山駅前 経由）
1061,土日祝,土日祝_13時00分_系統1061,瀬戸駅
5141,土日祝,土日祝_13時00分_系統5141,東岡山（岡山駅 経由）
1282,土日祝,土日祝_13時03分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1111,土日祝,土日祝_13時05分_系統1111,四御神（県庁前 経由）
2011,土日祝,土日祝_13時05分_系統2011,ネオ東６（新道河本 経由）
8001,土日祝,土日祝_13時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1112,土日祝,土日祝_13時20分_系統1112,表町BC経由岡山駅（清水 経由）
5141,土日祝,土日祝_13時30分_系統5141,東岡山（岡山駅 経由）
1061,土日祝,土日祝_13時30分_系統1061,瀬戸駅
5142,土日祝,土日祝_13時30分_系統5142,表町BC（高島団地・岡山駅前 経由）
1631,土日祝,土日祝_13時35分_系統1631,ネオ西９（西 ・下市 経由）
1072,土日祝,土日祝_13時37分_系統1072,瀬戸駅（岡山駅 経由）
1111,土日祝,土日祝_13時40分_系統1111,四御神（県庁前 経由）
8001,土日祝,土日祝_13時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1282,土日祝,土日祝_13時45分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1112,土日祝,土日祝_13時50分_系統1112,表町BC経由岡山駅（清水 経由）
5142,土日祝,土日祝_13時59分_系統5142,表町BC（高島団地・岡山駅前 経由）
2021,土日祝,土日祝_14時00分_系統2021,ネオ東６（中 ・下市 経由）
2001,土日祝,土日祝_14時00分_系統2001,瀬戸駅（ネオ東６ 経由）
1632,土日祝,土日祝_14時00分_系統1632,岡山駅前経由表町BC（下市・西 経由）
5141,土日祝,土日祝_14時05分_系統5141,東岡山（岡山駅 経由）
1112,土日祝,土日祝_14時10分_系統1112,表町BC経由岡山駅（清水 経由）
1111,土日祝,土日祝_14時15分_系統1111,四御神（県庁前 経由）
8001,土日祝,土日祝_14時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1181,土日祝,土日祝_14時20分_系統1181,林野駅（新道河本 経由）
1062,土日祝,土日祝_14時20分_系統1062,表町ＢＣ経由岡山駅
3102,土日祝,土日祝_14時25分_系統3102,表町ＢＣ経由岡山駅
1061,土日祝,土日祝_14時25分_系統1061,瀬戸駅
1272,土日祝,土日祝_14時26分_系統1272,岡山駅前経由表町BC（新道河本 経由）
5142,土日祝,土日祝_14時29分_系統5142,表町BC（高島団地・岡山駅前 経由）
1631,土日祝,土日祝_14時35分_系統1631,ネオ西９（西 ・下市 経由）
1111,土日祝,土日祝_14時36分_系統1111,四御神（県庁前 経由）
3101,土日祝,土日祝_14時40分_系統3101,片上
5141,土日祝,土日祝_14時40分_系統5141,東岡山（岡山駅 経由）
1112,土日祝,土日祝_14時40分_系統1112,表町BC経由岡山駅（清水 経由）
1622,土日祝,土日祝_14時45分_系統1622,岡山駅前経由表町BC（下市・中 経由）
8001,土日祝,土日祝_14時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
5142,土日祝,土日祝_14時50分_系統5142,表町BC（高島団地・岡山駅前 経由）
1621,土日祝,土日祝_14時50分_系統1621,ネオ西９（中 ・下市 経由）
5141,土日祝,土日祝_15時00分_系統5141,東岡山（岡山駅 経由）
1112,土日祝,土日祝_15時03分_系統1112,表町BC経由岡山駅（清水 経由）
1632,土日祝,土日祝_15時05分_系統1632,岡山駅前経由表町BC（下市・西 経由）
2021,土日祝,土日祝_15時05分_系統2021,ネオ東６（中 ・下市 経由）
1111,土日祝,土日祝_15時05分_系統1111,四御神（県庁前 経由）
1062,土日祝,土日祝_15時05分_系統1062,表町ＢＣ経由岡山駅
1061,土日祝,土日祝_15時10分_系統1061,瀬戸駅
8001,土日祝,土日祝_15時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
5142,土日祝,土日祝_15時15分_系統5142,表町BC（高島団地・岡山駅前 経由）
2011,土日祝,土日祝_15時20分_系統2011,ネオ東６（新道河本 経由）
1282,土日祝,土日祝_15時25分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1112,土日祝,土日祝_15時28分_系統1112,表町BC経由岡山駅（清水 経由）
