stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
946_05,946,新道立川口,,34.741382,134.015439,946_05,,0
948_04,948,新道河本西,,34.744900,134.016621,948_04,,0
948_05,948,新道河本西,,34.743999,134.016559,948_05,,0
950_04,950,新道河本,,34.746690,134.017144,950_04,,0
950_05,950,新道河本,,34.746135,134.017180,950_05,,0
952_04,952,新道山陽マルナカ前,,34.749265,134.017940,952_04,,0
952_05,952,新道山陽マルナカ前,,34.748550,134.017892,952_05,,0
954_04,954,新道赤磐市役所入口,,34.753525,134.021512,954_04,,0
954_05,954,新道赤磐市役所入口,,34.753392,134.021662,954_05,,0
956_04,956,新道高屋,,34.756636,134.024493,956_04,,0
956_05,956,新道高屋,,34.757423,134.025410,956_05,,0
958_04,958,新道高屋上,,34.758052,134.025801,958_04,,0
958_05,958,新道高屋上,,34.757416,134.025405,958_05,,0
960_04,960,新道沼田,,34.760448,134.028165,960_04,,0
960_05,960,新道沼田,,34.759796,134.027683,960_05,,0
962_04,962,新道二井口,,34.762135,134.030556,962_04,,0
962_05,962,新道二井口,,34.761847,134.030358,962_05,,0
1576_04,1576,山陽団地中１番,,34.744453,134.005185,1576_04,,0
1576_05,1576,山陽団地中１番,,34.744254,134.005408,1576_05,,0
1578_04,1578,山陽団地郵便局前,,34.746126,134.005368,1578_04,,0
1578_05,1578,山陽団地郵便局前,,34.745964,134.005478,1578_05,,0
1580_04,1580,山陽団地中２番,,34.747626,134.005437,1580_04,,0
1580_05,1580,山陽団地中２番,,34.747433,134.005533,1580_05,,0
1582_04,1582,山陽西小学校前,,34.750197,134.005589,1582_04,,0
1582_05,1582,山陽西小学校前,,34.749867,134.005664,1582_05,,0
1584_04,1584,山陽団地中３番,,34.751822,134.005837,1584_04,,0
1584_05,1584,山陽団地中３番,,34.751813,134.006048,1584_05,,0
2086_01,2086,下市,,34.753548,134.017029,2086_01,,0
2086_02,2086,下市,,34.754125,134.016504,2086_02,,0
9512_03,9512,県民局入口（東岡山）,,34.669676,133.926080,9512_03,,0
9513_03,9513,岡電柳川（東岡山）,,34.666869,133.926056,9513_03,,0
