"trans_id","lang","translation"
"博愛会病院前","ja","博愛会病院前"
"博愛会病院前","ja-Kana","ハクアイカイビョウインマエ"
"厚生町商工会議所前","en","Koseicho Shokokaigisho-mae"
"厚生町商工会議所前","ja","厚生町商工会議所前"
"厚生町商工会議所前","ja-Kana","コウセイチョウショウコウカイギショマエ"
"原尾島","en","Haraojima"
"原尾島","ja","原尾島"
"原尾島","ja-Kana","ハラオジマ"
"原尾島一丁目","en","Haraojima 1-chome"
"原尾島一丁目","ja","原尾島一丁目"
"原尾島一丁目","ja-Kana","ハラオジマイッチョウメ"
"原尾島住宅","en","Haraojima Jutaku"
"原尾島住宅","ja","原尾島住宅"
