trans_id,lang,translation
桜が丘西六丁目,ja,桜が丘西六丁目
桜が丘西六丁目,ja-Hira,さくらがおかにしろくちょうめ
桜が丘中央,ja,桜が丘中央
桜が丘中央,ja-Hira,さくらがおかちゅうおう
桜が丘東五丁目,ja,桜が丘東五丁目
桜が丘東五丁目,ja-Hira,さくらがおかひがしごちょうめ
桜が丘東六丁目,ja,桜が丘東六丁目
桜が丘東六丁目,ja-Hira,さくらがおかひがしろくちょうめ
桜が丘東六丁目上,ja,桜が丘東六丁目上
桜が丘東六丁目上,ja-Hira,さくらがおかひがしろくちょうめかみ
保育園前,ja,保育園前
保育園前,ja-Hira,ほいくえんまえ
野間,ja,野間
野間,ja-Hira,のま
桜が丘西10丁目東,ja,桜が丘西10丁目東
桜が丘西10丁目東,ja-Hira,さくらがおかにしじゅっちょうめひがし
桜が丘西10丁目中,ja,桜が丘西10丁目中
桜が丘西10丁目中,ja-Hira,さくらがおかにしじゅっちょうめなか
桜が丘西10丁目西,ja,桜が丘西10丁目西
桜が丘西10丁目西,ja-Hira,さくらがおかにしじゅっちょうめにし
桜が丘西９丁目東,ja,桜が丘西9丁目東
桜が丘西９丁目東,ja-Hira,さくらがおかにしきゅうちょうめひがし
桜が丘西９丁目中,ja,桜が丘西9丁目中
桜が丘西９丁目中,ja-Hira,さくらがおかにしきゅうちょうめなか
桜が丘西９丁目西,ja,桜が丘西9丁目西
桜が丘西９丁目西,ja-Hira,さくらがおかにしきゅうちょうめにし
桜が丘運動公園口,ja,桜が丘運動公園口
桜が丘運動公園口,ja-Hira,さくらがおかうんどうこうえんぐち
上市,ja,上市
上市,ja-Hira,かみいち
正崎下,ja,正崎下
正崎下,ja-Hira,しょうざきしも
正崎,ja,正崎
正崎,ja-Hira,しょうざき
五日市下,ja,五日市下
五日市下,ja-Hira,いつかいちしも
五日市上,ja,五日市上
五日市上,ja-Hira,いつかいちかみ
農業試験場口,ja,農業試験場口
農業試験場口,ja-Hira,のうぎょうしけんじょうぐち
東窪田,ja,東窪田
東窪田,ja-Hira,ひがしくぼた
窪田,ja,窪田
窪田,ja-Hira,くぼた
窪田上,ja,窪田上
窪田上,ja-Hira,くぼたかみ
町苅田下,ja,町苅田下
町苅田下,ja-Hira,まちかんだしも
町苅田,ja,町苅田
町苅田,ja-Hira,まちかんだ
赤坂支所前,ja,赤坂支所前
赤坂支所前,ja-Hira,あかさかししょまえ
赤坂中学校前,ja,赤坂中学校前
赤坂中学校前,ja-Hira,あかさかちゅうがっこうまえ
軽部住宅前,ja,軽部住宅前
軽部住宅前,ja-Hira,かるべじゅうたくまえ
軽部下,ja,軽部下
軽部下,ja-Hira,かるべしも
軽部上,ja,軽部上
軽部上,ja-Hira,かるべかみ
多賀下,ja,多賀下
多賀下,ja-Hira,たがしも
